repository,package,status,fixed_findings,reverted_findings,new_findings,new_in_patched_files,new_errors,new_warnings,new_info,detected,top_rules,codeql_status,codeql_fixed,codeql_reverted,codeql_new,codeql_detected,codeql_top_rules,detected_by,codeql_messages,semgrep_messages,revert_status,files_reverted,note
conventional-commits-parser_3.2.0,conventional-commits-parser,extract_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,"docker cp tmp-conventional-commits-parser_3.2.0-extract:/exploit/conventional-commits-parser_3.2.0/node_modules/conventional-commits-parser: …
ers/saleha/Desktop/cispa/SecBench.js/.redos-semgrep-analysis/conventional-commits-parser_3.2.0/fixed/node_modules/conventional-changelog-core"" -> ""../../../../../packages/conventional-changelog-core""
"
date-and-time_0.14.1,date-and-time,ok,29,29,0,0,0,0,0,no,,ok,3,4,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /date-and-time.js — This part of the regular expression may cause exponential backtracking on strings starting with '[' and containing many repetitions of 'Z'.,,ok,2,
dirty-json_0.4.0,dirty-json,ok,0,0,0,0,0,0,0,no,,ok,0,2,2,yes,Inefficient regular expression×2,codeql,"Inefficient regular expression @ /lexer.js — This part of the regular expression may cause exponential backtracking on strings starting with '""' and containing many repetitions of '!'. || Inefficient regular expression @ /lexer.js — This part of the regular expression may cause exponential backtracking on strings starting with ''' and containing many repetitions of '&'.",,ok,2,
ducktype_1.2.0,ducktype,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /ducktype.js — This part of the regular expression may cause exponential backtracking on strings starting with 'ftp://-.' and containing many repetitions of '-.'.,,partial,6,partial revert: some patched files could not be reverted (see revert.log)
email-existence_0.1.5,email-existence,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:9:13:9:15""]] that depends on [[""library input""|""relative:///index.js:6:28:6:32""]] may run slow on strings starting with '!@' and with many repetitions of '!@'.",,ok,1,
ethers_5.2.0,ethers,ok,468,469,2,0,0,2,0,yes,detect-non-literal-regexp×2,,,,,,,,,,ok,2,
fast-csv_4.3.5,fast-csv,ok,20,20,0,0,0,0,0,no,,ok,2,4,2,yes,Inefficient regular expression×1; Polynomial regular expression used on uncontrolled data×1,codeql,"Inefficient regular expression @ /packages/parse/src/parser/Parser.ts — This part of the regular expression may cause exponential backtracking on strings starting with ',' and containing many repetitions of ' ,'. || Polynomial regular expression used on uncontrolled data @ /packages/parse/src/parser/Parser.ts — This [[""regular expression""|""relative:///packages/parse/src/parser/Parser.ts:7:41:7:43""]] that depends on [[""library input""|""relative:///packages/parse/src/CsvParserStream.ts:105:19:105:22""]] may run slow on strings wit…",,ok,3,
forwarded_0.1.0,forwarded,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:14:26:14:27""]] that depends on [[""library input""|""relative:///index.js:31:21:31:23""]] may run slow on strings with many repetitions of ' '.",,ok,2,
fresh_0.5.0,fresh,ok,1,1,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:22:26:22:27""]] that depends on [[""library input""|""relative:///index.js:40:17:40:26""]] may run slow on strings with many repetitions of ' '.",,ok,2,
glob-parent_5.0.0,glob-parent,ok,7,7,0,0,0,0,0,no,,ok,1,2,2,yes,Polynomial regular expression used on uncontrolled data×2,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:9:22:9:23""]] that depends on [[""library input""|""relative:///index.js:18:38:18:40""]] may run slow on strings starting with '[' and with many repetitions of '['. This [[""r… || Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:10:32:10:36""]] that depends on [[""library input""|""relative:///index.js:18:38:18:40""]] may run slow on strings starting with '(' and with many repetitions of '(('.",,ok,2,
highlight.js_10.4.0,highlight.js,ok,77,77,0,0,0,0,0,no,,ok,14,15,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /src/languages/r.js — This part of the regular expression may cause exponential backtracking on strings starting with '`' and containing many repetitions of '\\_'.,,ok,49,
hosted-git-info_3.0.0,hosted-git-info,ok,3,3,0,0,0,0,0,no,,ok,3,4,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:44:69:44:73""]] that depends on [[""library input""|""relative:///index.js:27:36:27:41""]] may run slow on strings starting with '9:9' and with many repetitions of '99'.",,ok,1,
html-dom-parser_0.1.2,html-dom-parser,ok,0,0,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,4,
html-parse-stringify_2.0.0,html-parse-stringify,ok,2,2,0,0,0,0,0,no,,ok,2,4,2,yes,Inefficient regular expression×2,codeql,"Inefficient regular expression @ /src/parse.js — This part of the regular expression may cause exponential backtracking on strings starting with '<!""""' and containing many repetitions of '""""'. || Inefficient regular expression @ /src/parse.js — This part of the regular expression may cause exponential backtracking on strings starting with '<!''' and containing many repetitions of ''''.",,ok,3,
is-email_1.0.0,is-email,ok,6,0,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /lib/index.js — This [[""regular expression""|""relative:///lib/index.js:4:16:4:17""]] that depends on [[""library input""|""relative:///lib/index.js:12:18:12:23""]] may run slow on strings with many repetitions of 'a'. This [[""regular express…",,partial,6,partial revert: some patched files could not be reverted (see revert.log)
is-my-json-valid_2.20.1,is-my-json-valid,ok,3,3,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,1,
is-svg_4.2.2,is-svg,ok,3,3,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:19:23:19:25""]] that depends on [[""library input""|""relative:///index.js:34:15:34:19""]] may run slow on strings with many repetitions of ' '. This [[""regular expression""|""…",,ok,4,
jspdf_2.1.1,jspdf,ok,253,253,0,0,0,0,0,no,,ok,22,23,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /src/modules/addimage.js — This part of the regular expression may cause exponential backtracking on strings starting with 'data:/charset=' and containing many repetitions of 'charset='.,,ok,1,
locutus_2.0.10,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.redos-semgrep-analysis/locutus_2.0.10/build.log
lodash_4.17.4,lodash,ok,33,33,0,0,0,0,0,no,,ok,12,15,8,yes,Polynomial regular expression used on uncontrolled data×5; Prototype-polluting assignment×3,codeql,"Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13197:26:13197:29""]]. This assignment may alter Object.prototype if a malicious '__p… || Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13197:26:13197:29""]]. This assignment may alter Object.prototype if a malicious '__p… || Prototype-polluting assignment @ /lodash.js — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [[""library input""|""relative:///lodash.js:13197:26:13197:29""]]. This assignment may alter Object.prototype if a malicious '__p… || Polynomial regular expression used on uncontrolled data @ /lodash.js — This [[""regular expression""|""relative:///lodash.js:191:18:191:20""]] that depends on [[""library input""|""relative:///lodash.js:4852:35:4852:42""]] may run slow on strings with many repetitions of 'a'. This [[""regular expre… || Polynomial regular expression used on uncontrolled data @ /lodash.js — This [[""regular expression""|""relative:///lodash.js:157:22:157:24""]] that depends on [[""library input""|""relative:///lodash.js:5363:23:5363:27""]] may run slow on strings with many repetitions of ' '. This [[""regular expre… || Polynomial regular expression used on uncontrolled data @ /lodash.js — This [[""regular expression""|""relative:///lodash.js:157:22:157:24""]] that depends on [[""library input""|""relative:///lodash.js:14998:19:14998:24""]] may run slow on strings with many repetitions of ' '. || (+2 more)",,ok,2,
markdown-it_9.1.0,markdown-it,ok,17,17,0,0,0,0,0,no,,ok,2,2,0,no,,neither,,,ok,3,
marked_0.3.6,marked,ok,144,156,13,13,13,0,0,yes,mini-shell-exec-nonliteral×13,ok,25,23,2,yes,Incomplete multi-character sanitization×2,both,"Incomplete multi-character sanitization @ /lib/marked.esm.js — This string may still contain [[""<script""|""relative:///lib/marked.esm.js:2065:17:2065:17""]], which may cause an HTML element injection vulnerability. || Incomplete multi-character sanitization @ /lib/marked.js — This string may still contain [[""<script""|""relative:///lib/marked.js:2095:17:2095:17""]], which may cause an HTML element injection vulnerability.","mini-shell-exec-nonliteral @ lib/marked.esm.js:967 — Shell command assembled from a value. `exec`/`execSync` run the string through a shell, so any interpolated value can inject additional commands; use `execFile` with an argument array. || mini-shell-exec-nonliteral @ lib/marked.esm.js:993 — Shell command assembled from a value. `exec`/`execSync` run the string through a shell, so any interpolated value can inject additional commands; use `execFile` with an argument array. || mini-shell-exec-nonliteral @ lib/marked.esm.js:1695 — Shell command assembled from a value. `exec`/`execSync` run the string through a shell, so any interpolated value can inject additional commands; use `execFile` with an argument array. || mini-shell-exec-nonliteral @ lib/marked.esm.js:1703 — Shell command assembled from a value. `exec`/`execSync` run the string through a shell, so any interpolated value can inject additional commands; use `execFile` with an argument array. || mini-shell-exec-nonliteral @ lib/marked.js:1081 — Shell command assembled from a value. `exec`/`execSync` run the string through a shell, so any interpolated value can inject additional commands; use `execFile` with an argument array. || mini-shell-exec-nonliteral @ lib/marked.js:1108 — Shell command assembled from a value. `exec`/`execSync` run the string through a shell, so any interpolated value can inject additional commands; use `execFile` with an argument array. || (+7 more)",partial,11,partial revert: some patched files could not be reverted (see revert.log)
method-override_2.0.0,method-override,ok,0,0,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,2,
mime_1.4.0,mime,ok,1,1,0,0,0,0,0,no,,ok,0,2,2,yes,Polynomial regular expression used on uncontrolled data×2,codeql,"Polynomial regular expression used on uncontrolled data @ /Mime.js — This [[""regular expression""|""relative:///Mime.js:50:30:50:31""]] that depends on [[""library input""|""relative:///Mime.js:48:11:48:14""]] may run slow on strings with many repetitions of 'a'. || Polynomial regular expression used on uncontrolled data @ /Mime.js — This [[""regular expression""|""relative:///Mime.js:51:29:51:30""]] that depends on [[""library input""|""relative:///Mime.js:48:11:48:14""]] may run slow on strings with many repetitions of 'a'.",,ok,1,
minimatch_3.0.0,minimatch,ok,4,4,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,2,
mobile-detect_1.3.6,mobile-detect,ok,19,19,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,1,
natural_5.1.0,natural,ok,29,29,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,2,
normalize-url_6.0.0,normalize-url,ok,5,5,0,0,0,0,0,no,,ok,1,2,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:12:44:12:46""]] that depends on [[""library input""|""relative:///index.js:62:23:62:31""]] may run slow on strings starting with 'data:,' and with many repetitions of ',a'. T…",,ok,2,
npm-user-validate_1.0.0,npm-user-validate,ok,1,1,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /npm-user-validate.js — This [[""regular expression""|""relative:///npm-user-validate.js:48:22:48:23""]] that depends on [[""library input""|""relative:///npm-user-validate.js:47:17:47:18""]] may run slow on strings starting with 'a@' and with many re…",,ok,2,
nth-check_2.0.0,nth-check,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /src/parse.ts — This [[""regular expression""|""relative:///src/parse.ts:4:51:4:53""]] that depends on [[""library input""|""relative:///src/index.ts:29:34:29:40""]] may run slow on strings with many repetitions of ' '. This [[""regular express…",,ok,2,
papaparse_5.1.1,papaparse,ok,35,35,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,1,
postcss_8.0.0,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.redos-semgrep-analysis/postcss_8.0.0/build.log
ramda_0.27.1,ramda,ok,19,19,0,0,0,0,0,no,,ok,2,2,0,no,,neither,,,ok,1,
react-native_0.63.0-rc.0,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.redos-semgrep-analysis/react-native_0.63.0-rc.0/build.log
sanitize_2.0.0,sanitize,ok,2,2,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,2,
semver-regex_3.1.1,semver-regex,ok,3,3,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,3,
simple-markdown_0.7.2,simple-markdown,ok,19,19,0,0,0,0,0,no,,ok,3,3,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /simple-markdown.js — This [[""regular expression""|""relative:///simple-markdown.js:1319:41:1319:46""]] that depends on [[""library input""|""relative:///simple-markdown.js:465:48:465:53""]] may run slow on strings starting with '<!:/' and with man…",,ok,1,
ssri_8.0.0,ssri,ok,3,3,0,0,0,0,0,no,,ok,0,1,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /index.js — This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '?'.,,ok,2,
terminal-kit_2.1.0,terminal-kit,ok,125,125,0,0,0,0,0,no,,ok,5,6,2,yes,Polynomial regular expression used on uncontrolled data×2,codeql,"Polynomial regular expression used on uncontrolled data @ /lib/misc.js — This [[""regular expression""|""relative:///lib/misc.js:185:49:185:54""]] that depends on [[""library input""|""relative:///lib/document/AnimatedText.js:36:24:36:30""]] may run slow on strings starting with '^[' and with many r… || Polynomial regular expression used on uncontrolled data @ /lib/misc.js — This [[""regular expression""|""relative:///lib/misc.js:443:33:443:38""]] that depends on [[""library input""|""relative:///lib/ScreenBuffer.js:286:50:286:52""]] may run slow on strings starting with '^[' and with many repetiti…",,ok,6,
tmpl_1.0.0,tmpl,ok,1,1,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /lib/tmpl.js — This [[""regular expression""|""relative:///lib/tmpl.js:1:22:1:29""]] that depends on [[""library input""|""relative:///lib/tmpl.js:3:27:3:29""]] may run slow on strings starting with '{' and with many repetitions of '{a'.",,ok,1,
trim-off-newlines_1.0.0,trim-off-newlines,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /index.js — This [[""regular expression""|""relative:///index.js:3:26:3:35""]] that depends on [[""library input""|""relative:///index.js:5:28:5:30""]] may run slow on strings with many repetitions of '\n'.",,ok,3,
truncate_2.0.0,truncate,ok,1,1,0,0,0,0,0,no,,ok,0,0,0,no,,neither,,,ok,2,
ua-parser-js_0.7.22,ua-parser-js,ok,4,4,0,0,0,0,0,no,,ok,1,1,0,no,,neither,,,ok,1,
valid-email_0.0.1,valid-email,ok,0,0,0,0,0,0,0,no,,ok,0,1,1,yes,Inefficient regular expression×1,codeql,Inefficient regular expression @ /lib/valid-email.js — This part of the regular expression may cause exponential backtracking on strings containing many repetitions of '\\\\!'.,,ok,1,
validator_13.5.2,,build_failed,,,,,0,0,0,,,not run,,,,,,,,,,0,docker build failed; see /Users/saleha/Desktop/cispa/SecBench.js/.redos-semgrep-analysis/validator_13.5.2/build.log
ws_7.0.0,ws,ok,22,22,0,0,0,0,0,no,,ok,10,11,1,yes,Polynomial regular expression used on uncontrolled data×1,codeql,"Polynomial regular expression used on uncontrolled data @ /lib/websocket-server.js — This [[""regular expression""|""relative:///lib/websocket-server.js:289:41:289:42""]] that depends on [[""library input""|""relative:///lib/websocket-server.js:181:17:181:19""]] may run slow on strings with many repetitions of …",,ok,1,
