category,repository,package,version,outcome,evaded_both,status,baseline_test,exploit_reproduces,granularity,units_total,units_kept,winning_transform,transform_layers,semgrep_fixed,semgrep_new_full,semgrep_new_minimal,semgrep_new_final,codeql_fixed,codeql_new_full,codeql_new_minimal,codeql_new_final,detected_by,semgrep_top_rules,codeql_top_rules,ci_strategy,ci_verdict,audit_new,repo_suspect,semgrep_messages,codeql_messages,rerun,previous_outcome,previous_status
prototype-pollution,Sdju/js-ini,js-ini,1.2.0,setup-fail,,rebuild-failed,fail,,line,29,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
prototype-pollution,kriszyp/json-schema,json-schema,0.3.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,3,1,,,2,0,0,0,0,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,janl/node-jsonpointer,jsonpointer,4.0.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,12,8,,,2,0,0,0,4,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,angus-c/just,just-safe-set,1.0.0,benchmark-fail,,revert-applied-no-repro,fail,,line,5,,,,,,,,,,,,,,,,,,,,,,benchmark-fail,revert-applied-no-repro
prototype-pollution,rumkin/keyget,keyget,2.2.0,ok,yes,minimized+evaded (ci:skipped),fail,yes,line,28,1,,,1,0,0,0,6,0,0,0,neither,,,exploit-minimal,skipped,0,,,,,ok,minimized+evaded (ci:skipped)
prototype-pollution,dominictarr/libnested,libnested,1.5.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,2,1,,,1,0,0,0,0,2,2,2,codeql,,js/prototype-polluting-assignment×2,exploit-minimal,skipped,0,,,js/prototype-polluting-assignment @ index.js:27 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1). || js/prototype-polluting-assignment @ index.js:29 — This assignment may alter Object.prototype if a malicious '__proto__' string is injected from [library input](1).,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,piranna/linux-cmdline,linux-cmdline,1.0.0,ok,no,minimized+partial-evade (ci:skipped),fail,yes,line,4,3,,,1,1,1,1,0,0,0,0,semgrep,mini-prototype-pollution-path-write×1,,exploit-minimal,skipped,0,,"mini-prototype-pollution-path-write @ index.js:1 — Writes through a caller-supplied property path without rejecting the `__proto__`, `constructor` and `prototype` segments, so a crafted path reaches Object.prototype (prototype pollution).",,,ok,minimized+partial-evade (ci:skipped)
prototype-pollution,lodash/lodash,lodash,4.17.9,unknown,,harness-error,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,harness-error
prototype-pollution,josdejong/mathjs,mathjs,7.4.0,setup-fail,,rebuild-failed,fail,,line,4,,,,,,,,,,,,,,,,,,,,,,setup-fail,rebuild-failed
prototype-pollution,jonschlinkert/merge-deep,merge-deep,3.0.0,ok,n/a (codeql),minimized+evaded (ci:baseline-already-broken),fail,yes,line,14,8,,,1,0,0,0,,,,,neither,,,exploit-minimal,baseline-already-broken,0,,,,yes,benchmark-fail,revert-applied-no-repro
