category,benchmark,outcome,failure_cause,source_tag,verdict_source,superseded_runs,superseded_outcomes,verdict
prototype-pollution,hoek_5.0.0,SOLVED,,base,run_meta,1,not-solved,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,inireader_1.0.0,SOLVED_SAFE,,judge8,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 2), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,json-schema_0.3.0,SOLVED,,base,run_meta,0,,"Pipeline done. loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
prototype-pollution,jsonpointer_4.0.0,SOLVED_SAFE,,judge10,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,keyget_2.2.0,SOLVED,,judge8,run_meta,1,failed,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,libnested_1.5.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,linux-cmdline_1.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
prototype-pollution,lodash_4.17.10,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,lodash_4.17.9,failed,seed patch failed to apply,base,none,0,,
prototype-pollution,merge-deep_3.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=REGRESSION ❌ 8 new failure(s) (baseline 2, now 10), gates=FAIL"
prototype-pollution,merge-options_1.0.0,SOLVED_SAFE,,judge8,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,mixin-deep_1.3.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,mixin-deep_2.0.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
prototype-pollution,node-forge_0.9.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL"
prototype-pollution,nodee-utils_1.2.2,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
prototype-pollution,object-path-set_1.0.0,not-solved,,judge8,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL"
prototype-pollution,object-path_0.11.4,SOLVED_SAFE,,judge10,run_meta,1,SOLVED_SAFE,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,patchmerge_1.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,patchmerge_1.0.1,failed,LLM harness: no @@ISSUE block,judge6,none,0,,
prototype-pollution,pathval_1.1.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,properties-reader_2.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL"
prototype-pollution,property-expr_2.0.2,SOLVED,,judge8,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,putil-merge_3.0.0,SOLVED,,judge7,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,safe-flat_2.0.0,SOLVED_SAFE,,judge7,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,sds_3.2.0,SOLVED,,judge8,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 4), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,set-getter_0.1.0,SOLVED,,judge8,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 4), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,set-in_1.0.0,SOLVED_SAFE,,judge7,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,set-or-get_1.2.10,failed,LLM harness: no @@ISSUE block,judge7,none,0,,
prototype-pollution,set-value_3.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 17), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,strikeentco-set_1.0.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 4), gates=PASS, final_gate=['SOLVED']"
prototype-pollution,total.js_3.4.6,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
prototype-pollution,tree-kit_0.6.1,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 127), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,undefsafe_2.0.2,SOLVED_SAFE,,judge7,run_meta,1,failed,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
prototype-pollution,viking04-merge_1.0.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
redos,ansi-regex_4.1.0,SOLVED,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
redos,axios_0.21.0,SOLVED,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 3), gates=PASS, final_gate=['SOLVED']"
redos,brace-expansion_1.1.6,SOLVED_SAFE,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,browserslist_4.16.4,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 15 failing, still 15; pre-existing failures ignored), gates=FAIL"
redos,clean-css_4.1.10,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,color-string_1.5.4,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
redos,colors-cli_1.0.25,SOLVED,,judge13,pipeline.log,1,failed,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
redos,date-and-time_0.14.1,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
redos,dirty-json_0.4.0,failed,seed rejected: patch flagged by scanner,judge14,none,0,,
redos,email-existence_0.1.5,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 4), gates=PASS, final_gate=['SOLVED']"
redos,forwarded_0.1.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
redos,fresh_0.5.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
redos,hosted-git-info_3.0.0,SOLVED_SAFE,,judge14,run_meta,1,failed,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,html-parse-stringify_2.0.0,not-solved,,judge14,run_meta,1,failed,"Pipeline done. seed=unhardened, loop=no-win, final tests=PASSED ✅, gates=FAIL"
redos,is-email_1.0.0,failed,docker: container died / not found,judge14,none,0,,
redos,is-my-json-valid_2.20.1,SOLVED,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED']"
redos,method-override_2.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
redos,mobile-detect_1.3.6,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
redos,ms_0.7.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
redos,natural_5.1.0,SOLVED,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED']"
redos,normalize-url_6.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,npm-user-validate_1.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,nth-check_2.0.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
redos,papaparse_5.1.1,not-solved,,judge13,run_meta,1,failed,"Pipeline done. seed=unhardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
redos,sanitize_2.0.0,SOLVED_SAFE,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=NO NEW FAILURES ✅ (baseline 1 failing, still 1; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,ssri_8.0.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=NO NEW FAILURES ✅ (baseline 0 failing, still 0; pre-existing failures ignored), gates=PASS, final_gate=['SOLVED']"
redos,terminal-kit_2.1.0,failed,interrupted mid-pipeline (no verdict written),judge14,none,0,,
redos,three_0.122.0,not-solved,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=FAIL"
redos,tmpl_1.0.0,SOLVED,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=SUCCESS, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED']"
redos,trim-off-newlines_1.0.0,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 7), gates=PASS, final_gate=['SOLVED_SAFE']"
redos,truncate_2.0.0,SOLVED_SAFE,,judge13,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=PASSED ✅, gates=PASS, final_gate=['SOLVED_SAFE']"
redos,valid-email_0.0.1,SOLVED_SAFE,,judge14,run_meta,0,,"Pipeline done. seed=hardened, loop=no-win, final tests=FAILED ❌ (exit 1), gates=PASS, final_gate=['SOLVED_SAFE']"
